Company Name,Website,Source,WhatsApp Link,Phone Number,WhatsApp Source,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
provitreff,https://provitreff.ch,OSM,https://wa.me/0220928092452,0220928092452,site mentions WhatsApp,Cleiton Rasta,cto,cleiton.rasta@provitreff.ch,website,info@provitreff.ch; u003e@bambino.vom13ni; u003e@batakanda.junior; u003e@parazh.prgng; cleiton.rasta@provitreff.ch
Alden Suite Hotel Splügenschloss,http://www.alden.ch,OSM,https://wa.me/047730387,047730387,site mentions WhatsApp,,,advantageclub@leonardo-hotels.com,none,advantageclub@leonardo-hotels.com; welcome@alden.ch
Two Spice,https://www.twospice.ch,OSM,https://wa.me/0250428,0250428,site mentions WhatsApp,Daniel Kehl,inhaber,info@twospice.ch,website,info@twospice.ch; marketing@twospice.ch
Glärnischhof by Trinity,https://www.hotelglaernischhof.ch,OSM,https://wa.me/0260801,0260801,wa.me API check,Unsere Hotelzimmer,Team Member,info@hotelglaernischhof.ch,website,info@hotelglaernischhof.ch; trinity@hotelglaernischhof.ch
Thatsuits,https://thatsuits.ch,OSM,https://wa.me/0231027,0231027,site mentions WhatsApp,Datenschutz Impressum,Partner,datenschutz.impressum@thatsuits.ch,website,info@thatsuits.com; datenschutz.impressum@thatsuits.ch
Café & Conditorei 1842,https://www.cafe1842.ch,OSM,https://wa.me/06791692885,06791692885,wa.me API check,Der Jahresbericht,Team Member,1842@arbeitskette.ch,website,1842@arbeitskette.ch; alpenrose@arbeitskette.ch; krone@arbeitskette.ch; limmathof@arbeitskette.ch; lox@arbeitskette.ch; mediacampus@arbeitskette.ch; stark@arbeitskette.ch; stuermeierhuus@arbeitskette.ch
Ristorante Italia,https://www.ristorante-italia.ch,OSM,https://wa.me/02306230701,02306230701,wa.me API check,,,info@buonvicini.ch,none,info@buonvicini.ch; info@ristorante-italia.ch
Wicki AG Sicherheits- und Schliesstechnik,https://wickiag.ch,OSM,https://wa.me/01911081415,01911081415,wa.me API check,Bereich Sicherheits,Partner,bereich@wickiag.ch,website,zuerich@wickiag.ch; bereich@wickiag.ch
Vittorio Vanini - Swiss Chocolate since 1871,https://www.vanini1871.ch,OSM,https://wa.me/0674304117191,0674304117191,wa.me API check,,,info@vanini1871.ch,none,info@vanini1871.ch
Bäckerei Conditorei Stocker,https://gipfeli.ch/standorte/standortweinbergstrasse93,OSM,https://wa.me/0180605,0180605,site mentions WhatsApp,,,info@gipfeli.ch,none,info@gipfeli.ch
Johanniter,https://www.johanniter.com,OSM,https://wa.me/0250303,0250303,wa.me API check,,,info@johanniter.com,none,info@johanniter.com
Amavita,https://www.amavita.ch/de/amavita-apotheke-schwamendingen,OSM,https://wa.me/01520153,01520153,wa.me API check,,,apotheke.schwamendingen@amavita.ch,none,apotheke.schwamendingen@amavita.ch; u002f@amavita.ch
Kieser Training,https://www.kieser-training.ch/studios/zuerich-steinwies,OSM,https://wa.me/0214815,0214815,wa.me API check,Gratis Probetraining,Geschäftsleitung,info@kieser.com,website,info@kieser.com; zuerich6@kieser.com
Kafi Plus,https://zentrumelch.ch,OSM,https://wa.me/0316364733837,0316364733837,wa.me API check,Accu Weitere,leitung,accu.weitere@zentrumelch.ch,website,accu@zentrumelch.ch; altstetten@zentrumelch.ch; cece.areal@zentrumelch.ch; frieden@zentrumelch.ch; krokodil@zentrumelch.ch; regensbergstrasse@zentrumelch.ch; accu.weitere@zentrumelch.ch
Stauffacher USM Markt,https://usm-markt.ch,OSM,https://wa.me/0779273,0779273,wa.me API check,Kategorien Home,Partner,kategorien.home@usm-markt.ch,website,info@usm-markt.ch; kategorien.home@usm-markt.ch
Berufsfachschule für Lernende mit Hör- und Kommunikationsbehinderung (BSFH),https://www.bsfh.ch/home-willkommen,OSM,https://wa.me/0242025,0242025,wa.me API check,Der Herausgeber,Partner,info@bsfh.ch,website,info@bsfh.ch
Balboa im Viadukt,https://balboamove.ch,OSM,https://wa.me/0260808,0260808,wa.me API check,Balboa Runs,Team Member,balboa.runs@balboamove.ch,website,info@balboamove.ch; _@astro.cdx-mddu.css; balboa.runs@balboamove.ch
Blutspende SRK Zürich,https://blutspendezurich.ch,OSM,https://wa.me/0316349074055,0316349074055,wa.me API check,Forschung Kongressbeiträge,Partner,info@zhbsd.ch,website,info@zhbsd.ch; alpinejs@3.x.x; spenderbuero@zhbsd.ch
Poggenpohl Küchenstudio,https://www.zuerich.poggenpohl.com,OSM,https://wa.me/0101010,0101010,wa.me API check,,,info@poggenpohl.com,none,info@poggenpohl.com
The Bite,https://www.thebite.ch,OSM,https://wa.me/0327544,0327544,wa.me API check,,,recruiting@vonmatt-hospitality.com,none,info@thebite.ch; recruiting@vonmatt-hospitality.com
EquiTable,https://www.equi-table.ch,OSM,https://wa.me/03020303,03020303,wa.me API check,Facebook Instagram,PARTNER,restaurant@equi-table.ch,website,restaurant@equi-table.ch
Liip AG,https://www.liip.ch,OSM,https://wa.me/05129910446,05129910446,wa.me API check,Digital Av,partner,contact@liip.ch,website,contact@liip.ch
Amavita,https://www.amavita.ch/de/amavita-apotheke-wengihof,OSM,https://wa.me/01520153,01520153,wa.me API check,,,apotheke.wengihof@amavita.ch,none,apotheke.wengihof@amavita.ch; u002f@amavita.ch
Bäckerei Conditorei Stocker,https://gipfeli.ch/standorte/standortkreuzplatz,OSM,https://wa.me/0231114,0231114,site mentions WhatsApp,,,info@gipfeli.ch,none,info@gipfeli.ch
Vita Volta,https://www.vitavolta.ch,OSM,https://wa.me/0492971632996114824,0492971632996114824,site mentions WhatsApp,,,info@vitavolta.ch,none,info@vitavolta.ch
Zingg-Lamprecht,https://zingg-lamprecht.ch,OSM,https://wa.me/033634172847,033634172847,wa.me API check,Das Ergebnis,Partner,das@zingg-lamprecht.ch,website,info@zingg-lamprecht.ch; kundendienst@zingg-lamprecht.ch; das@zingg-lamprecht.ch
Suchtfachstelle Zürich,https://www.suchtfachstelle.zuerich,OSM,https://wa.me/0212026,0212026,wa.me API check,Nahestehende Individuelle,Partner,info@suchtfachstelle.zuerich,website,info@suchtfachstelle.zuerich
Riithalle,https://www.riithalle.ch,OSM,https://wa.me/0757686,0757686,wa.me API check,,,reservation@riithalle.ch,none,reservation@riithalle.ch
Telco Fritzmann AG,https://www.telco-fritzmann.ch,OSM,https://wa.me/0260515,0260515,wa.me API check,Ihr Loewe,Partner,info@telco-fritzmann.ch,website,info@telco-fritzmann.ch; mustermann@beispiel.de
mamiexpress.ch,https://mamiexpress.ch,OSM,https://wa.me/0260126,0260126,site mentions WhatsApp,Autofahren Fenster,Senior,autofahren.fenster@mamiexpress.ch,website,info@mamiexpress.ch; autofahren.fenster@mamiexpress.ch
Küche & Haushalt AG,https://kuecheundhaushalt.ch,OSM,https://wa.me/01148263,01148263,site mentions WhatsApp,,,info@kuecheundhaushalt.ch,none,info@kuecheundhaushalt.ch
Now,https://onenow.fit,OSM,https://wa.me/01520153,01520153,site mentions WhatsApp,,,team@onenow.fit,none,team@onenow.fit
