Company Name,Website,Source,WhatsApp Link,Phone Number,WhatsApp Source,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
St. John United Lutheran Church,https://stjohnunited.org,OSM,https://wa.me/0130729,0130729,site mentions WhatsApp,Create Project,Partner,create.project@stjohnunited.org,website,office@stjohnunited.org; create.project@stjohnunited.org
The Little Gym,https://www.thelittlegym.com/SeattleMapleLeafWA,OSM,https://wa.me/0100101,0100101,site mentions WhatsApp,Eunice Won,cto,tlgseattlewa@thelittlegym.com,website,tlgseattlewa@thelittlegym.com
Windy City Pie,https://windycitypie.com,OSM,https://wa.me/0260514,0260514,wa.me API check,,,eatpie@windycitypie.com,none,eatpie@windycitypie.com
Modele's Home Furnishings,https://www.modelesfurniture.com,OSM,https://wa.me/0162019,0162019,wa.me API check,,,contact@modelesfurniture.com,none,contact@modelesfurniture.com
Capitale,https://capitalepizzeria.com,OSM,https://wa.me/0190363,0190363,site mentions WhatsApp,Angela Jones,Team Member,angela.jones@capitalepizzeria.com,website,contact@capitalepizzeria.com; angela.jones@capitalepizzeria.com
Mind & Body Pilates,https://www.seattlepilates.com,OSM,https://wa.me/0150825,0150825,wa.me API check,Pilates Instru,cto,info@seattlepilates.com,website,info@seattlepilates.com
Corsair Athletics,https://traincorsair.com,OSM,https://wa.me/0260127,0260127,site mentions WhatsApp,Facebook Instagram,PARTNER,facebook.instagram@traincorsair.com,website,info@corsairfitness.com; facebook.instagram@traincorsair.com
Herb & Bitter,https://www.herbandbitter.com,OSM,https://wa.me/0732552,0732552,site mentions WhatsApp,,,michael6@herbandbitter.com,none,michael6@herbandbitter.com; oscar@herbandbitter.com; scotty@herbandbitter.com
Poquitos,https://www.vivapoquitos.com,OSM,https://wa.me/0556255,0556255,wa.me API check,,,giftcards@yesparade.com,none,info@vivapoquitos.com; giftcards@yesparade.com
Inspire Ballard,https://inspireseattle.com,OSM,https://wa.me/0260413,0260413,site mentions WhatsApp,About Instru,cto,about.instru@inspireseattle.com,website,info@inspireseattle.com; about.instru@inspireseattle.com
The Little Beast,https://beastandcleaver.com/the-little-beast,OSM,https://wa.me/02506902,02506902,wa.me API check,Cards About,Founder,cards.about@beastandcleaver.com,website,info@beastandcleaver.com; info@littlebeastballard.com; cards.about@beastandcleaver.com
Zeitgeist Coffee,https://www.zeitgeistcoffee.com,OSM,https://wa.me/020760398,020760398,wa.me API check,,,info@zeitgeistcoffee.com,none,info@zeitgeistcoffee.com
Roosevelt Animal Hospital,https://rooseveltah.com,OSM,https://wa.me/09544359667,09544359667,wa.me API check,Google Steph,owner,google.steph@rooseveltah.com,website,hello@rooseveltah.com; info@caravetclinics.wpenginepowered.com; google.steph@rooseveltah.com
City Cellars,https://www.citycellar.com,OSM,https://wa.me/08678667,08678667,wa.me API check,,,mail@citycellar.com,none,mail@citycellar.com
Salon Ritual,https://www.srseattle.com,OSM,https://wa.me/063435890,063435890,wa.me API check,,,hello@srseattle.com,none,hello@srseattle.com
